member_id,recruit_post_id,age_in_range,age_diff,age_range_overlap,gender_match_to_post,gender_match_from_member,gender_match_both,lifestyle_match,personality_match,lifestyle_preference_match,personality_preference_match,smoking_compatible,snoring_compatible,pet_compatible,roommate_count_match,lifestyle_personality_match,compatibility_score,is_bookmarked
182,92,1,2.5,1,1,1,1,1,0,0,1,1,1,1,0,0,0.75,0
258,107,0,6.0,0,1,1,1,0,1,1,0,1,0,1,0,0,0.5,0
195,1,1,3.5,1,1,1,1,0,0,0,1,1,1,1,0,0,0.625,0
126,85,1,4.5,1,1,1,1,0,1,1,0,0,1,1,1,0,0.75,1
210,21,1,1.5,1,1,1,1,1,0,0,0,1,1,1,1,0,0.875,1
269,118,0,5.0,0,1,0,0,0,0,1,1,1,1,1,0,0,0.375,0
299,138,1,2.0,1,0,0,0,1,1,0,1,1,1,1,0,1,0.75,0
278,93,1,2.5,1,0,0,0,1,0,1,1,1,1,1,0,0,0.625,0
249,87,1,1.0,1,0,1,0,1,1,1,0,1,1,1,1,1,0.875,0
250,57,1,0.0,1,0,0,0,1,0,0,0,1,0,1,1,0,0.625,0
236,147,1,4.5,1,0,0,0,1,1,0,1,0,1,1,0,1,0.625,0
244,43,1,6.5,1,0,0,0,1,1,0,1,1,1,1,0,1,0.75,0
211,44,1,0.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0.625,1
359,71,0,17.5,0,0,0,0,0,0,1,0,1,1,1,1,0,0.5,0
271,93,0,14.5,0,1,0,0,0,1,0,0,1,1,1,0,0,0.5,0
371,84,0,20.5,0,0,0,0,0,1,0,0,1,1,1,1,0,0.625,0
236,107,1,2.0,1,1,1,1,0,1,0,1,0,1,1,0,0,0.625,0
318,4,1,1.5,1,0,0,0,0,1,1,0,1,0,1,1,0,0.625,0
80,4,0,10.5,0,0,0,0,0,1,1,0,1,1,1,1,0,0.625,0
192,18,1,2.5,1,0,0,0,1,1,0,1,1,1,1,0,1,0.75,0
282,55,1,0.5,1,1,1,1,0,1,1,1,0,1,1,0,0,0.625,0
261,127,1,4.5,1,1,1,1,0,1,1,0,1,1,1,1,0,0.875,1
319,59,0,9.5,0,1,1,1,1,1,1,0,1,1,1,1,1,0.875,0
35,2,1,4.0,1,0,0,0,1,1,0,0,1,1,1,0,1,0.75,0
44,59,0,13.5,0,1,0,0,1,0,0,1,1,0,1,1,0,0.5,0
157,59,0,9.5,0,1,1,1,1,1,0,0,1,0,1,1,1,0.75,0
325,62,1,2.5,1,1,0,0,1,1,1,0,1,1,1,1,1,0.875,0
66,120,1,2.5,1,0,0,0,0,0,0,0,1,1,1,1,0,0.625,0
277,127,1,0.5,1,0,0,0,1,1,1,0,0,1,1,1,1,0.75,0
210,87,0,5.0,0,1,1,1,1,0,0,0,1,1,1,1,0,0.75,0
285,29,0,18.0,0,1,1,1,1,0,0,1,1,1,1,0,0,0.625,0
248,118,1,0.0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.75,0
199,25,1,3.0,1,0,0,0,0,1,0,1,1,1,1,0,0,0.625,0
90,2,1,6.0,1,0,0,0,1,1,1,0,1,1,0,0,1,0.625,0
166,34,1,2.0,1,0,1,0,0,1,0,0,1,1,1,0,0,0.625,0
321,55,1,2.5,1,1,1,1,0,0,1,0,0,1,1,0,0,0.5,1
288,22,1,1.0,1,1,0,0,0,0,0,1,1,1,1,1,0,0.625,0
342,34,1,6.0,1,1,1,1,1,0,1,0,1,1,1,0,0,0.75,0
143,2,1,2.0,1,1,1,1,1,1,0,0,1,1,0,0,1,0.75,0
387,85,0,5.5,0,1,1,1,1,0,0,1,0,1,1,1,0,0.625,0
204,83,1,5.0,1,0,0,0,1,0,1,1,1,1,1,1,0,0.75,0
162,10,1,1.5,1,0,0,0,0,0,1,0,1,1,1,1,0,0.625,0
179,14,0,9.5,0,1,1,1,0,1,1,1,1,1,1,0,0,0.625,0
141,101,1,3.0,1,1,1,1,1,0,1,0,1,0,0,0,0,0.5,1
66,58,0,6.5,0,1,1,1,0,1,0,0,0,1,1,0,0,0.5,0
312,25,1,3.0,1,1,1,1,0,0,1,0,1,1,1,1,0,0.75,1
350,37,0,5.5,0,0,0,0,0,1,1,0,1,1,1,1,0,0.625,0
5,85,1,0.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0.625,0
216,2,1,1.0,1,0,0,0,0,1,0,0,1,1,1,0,0,0.625,0
84,4,0,4.5,0,0,1,0,1,0,1,0,1,1,1,1,0,0.625,0
212,71,0,17.5,0,0,0,0,1,1,1,1,1,1,1,0,1,0.625,0
75,108,1,0.5,1,0,0,0,0,1,0,0,1,1,1,1,0,0.75,0
134,25,1,6.0,1,0,0,0,0,1,1,0,1,1,1,1,0,0.75,0
79,58,1,1.5,1,0,1,0,0,1,1,1,0,1,1,0,0,0.5,0
228,10,1,3.5,1,0,1,0,0,1,1,0,1,1,1,0,0,0.625,0
270,98,1,0.5,1,0,0,0,0,0,1,1,1,1,1,1,0,0.625,0
391,1,0,11.5,0,0,0,0,1,1,1,0,1,1,0,0,1,0.5,0
70,1,1,3.5,1,0,0,0,0,0,0,0,1,1,0,0,0,0.375,0
127,130,1,0.5,1,1,1,1,0,1,1,0,1,1,1,0,0,0.75,1
262,116,0,6.5,0,0,0,0,0,1,1,1,1,0,1,0,0,0.375,0
243,127,1,3.5,1,0,0,0,0,0,0,0,1,1,1,1,0,0.625,0
67,10,0,11.5,0,1,1,1,1,1,1,0,1,1,1,0,1,0.75,0
344,102,1,2.0,1,0,0,0,0,1,1,0,1,1,1,1,0,0.75,0
354,71,0,11.5,0,0,0,0,1,1,1,1,1,1,1,0,1,0.625,0
197,59,0,17.5,0,1,1,1,1,0,0,1,1,1,1,1,0,0.75,0
302,93,1,0.5,1,0,0,0,0,1,1,1,1,1,1,0,0,0.625,0
144,127,0,21.5,0,0,1,0,0,1,0,1,0,1,1,0,0,0.375,0
120,92,0,5.5,0,1,1,1,0,1,0,0,1,1,1,0,0,0.625,0
108,55,1,1.5,1,0,0,0,1,1,1,1,1,1,1,0,1,0.75,0
137,4,1,2.5,1,0,0,0,1,1,0,0,1,1,1,1,1,0.875,0
306,93,1,1.5,1,1,1,1,1,1,1,0,0,1,1,0,1,0.75,0
302,132,0,11.0,0,0,0,0,1,0,1,1,1,1,1,1,0,0.625,0
306,64,1,3.0,1,0,0,0,0,1,1,0,1,1,1,0,0,0.625,0
335,55,0,7.5,0,1,1,1,0,1,0,0,0,1,1,0,0,0.5,0
7,118,1,1.0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.625,0
4,67,1,2.5,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,1
255,136,0,9.0,0,0,0,0,0,0,0,0,1,1,1,1,0,0.5,0
165,18,1,4.5,1,0,0,0,1,1,1,0,1,1,1,0,1,0.75,0
331,62,1,2.5,1,1,0,0,0,1,1,1,1,1,1,0,0,0.625,0
232,58,0,10.5,0,1,1,1,0,1,0,1,1,1,1,1,0,0.75,0
234,1,1,1.5,1,0,0,0,0,0,1,0,1,1,1,0,0,0.5,0
317,108,0,10.5,0,0,0,0,1,0,1,1,1,1,1,1,0,0.625,0
321,4,0,4.5,0,0,0,0,1,1,1,0,1,0,1,1,1,0.625,0
235,149,1,3.5,1,0,0,0,1,0,1,1,1,1,1,1,0,0.75,0
124,116,1,4.5,1,1,1,1,1,1,0,0,1,1,1,0,1,0.875,0
17,149,1,2.5,1,0,0,0,1,1,1,0,1,1,1,1,1,0.875,0
327,79,1,0.5,1,1,0,0,0,0,0,1,1,1,1,1,0,0.625,1
279,59,1,6.5,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,1
185,77,0,5.5,0,1,0,0,0,1,0,0,1,1,1,1,0,0.625,0
100,101,1,5.0,1,1,1,1,1,0,1,0,1,1,0,0,0,0.625,1
38,71,0,12.5,0,1,1,1,1,1,0,0,1,1,1,0,1,0.75,0
341,5,1,3.5,1,1,1,1,0,1,0,1,1,0,1,0,0,0.625,0
168,116,0,9.5,0,1,1,1,0,1,1,0,1,0,1,0,0,0.5,0
215,74,1,4.0,1,0,0,0,1,1,0,1,1,1,1,0,1,0.75,0
75,130,1,0.5,1,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0
332,65,0,13.0,0,0,1,0,1,1,0,1,1,1,1,1,1,0.75,0
159,65,1,1.0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,0
34,4,1,0.5,1,0,0,0,1,1,0,0,1,0,1,1,1,0.75,0
85,34,1,5.0,1,1,1,1,1,1,0,1,1,1,1,0,1,0.875,0
99,109,1,3.0,1,0,0,0,0,1,1,0,0,1,1,1,0,0.625,0
119,2,0,11.0,0,0,0,0,1,1,0,1,1,1,1,1,1,0.75,0
241,136,0,10.0,0,1,1,1,1,1,0,0,1,1,1,0,1,0.75,0
336,56,1,2.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0.625,0
319,10,1,0.5,1,1,1,1,1,1,1,0,1,1,1,0,1,0.875,0
215,84,0,18.5,0,0,0,0,0,0,0,1,1,1,1,0,0,0.375,0
138,18,0,13.5,0,1,1,1,1,1,1,1,0,1,1,0,1,0.625,0
165,61,1,1.5,1,1,0,0,1,0,1,0,1,1,1,1,0,0.75,0
393,113,0,7.5,0,1,1,1,0,1,1,0,1,1,1,1,0,0.75,0
170,101,1,3.0,1,1,1,1,0,1,0,1,1,1,1,1,0,0.875,0
195,57,0,7.0,0,1,1,1,1,0,0,1,1,0,1,1,0,0.625,0
360,113,1,2.5,1,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0
331,10,1,0.5,1,0,0,0,0,1,1,1,1,1,1,0,0,0.625,0
55,77,1,2.5,1,1,0,0,1,0,0,1,1,1,1,1,0,0.75,0
31,15,1,1.0,1,1,0,0,1,1,0,1,1,1,1,1,1,0.875,1
78,113,0,9.5,0,0,0,0,1,0,1,1,1,0,1,1,0,0.5,0
274,79,0,9.5,0,1,0,0,0,0,0,1,1,1,0,1,0,0.375,0
22,87,1,2.0,1,1,1,1,0,0,1,1,1,1,1,1,0,0.75,1
328,101,1,0.0,1,0,1,0,0,0,1,0,1,0,1,0,0,0.375,0
79,67,1,4.5,1,1,1,1,1,1,1,1,0,1,1,1,1,0.875,1
299,61,1,4.5,1,1,0,0,0,0,0,1,1,1,1,1,0,0.625,0
118,65,1,1.0,1,0,0,0,0,0,0,1,1,1,1,1,0,0.625,0
48,59,0,7.5,0,1,1,1,1,1,1,1,1,0,1,1,1,0.75,0
136,62,1,5.5,1,1,0,0,0,0,1,1,1,1,1,0,0,0.5,0
329,43,1,7.5,1,1,1,1,0,0,1,0,1,1,1,0,0,0.625,0
92,25,0,8.0,0,0,1,0,0,1,0,1,1,1,1,1,0,0.625,0
157,92,1,3.5,1,0,0,0,1,1,0,0,1,0,1,1,1,0.75,0
292,71,0,14.5,0,0,0,0,1,0,1,1,1,1,1,0,0,0.5,0
48,2,1,3.0,1,0,0,0,1,0,1,1,1,1,1,1,0,0.75,0
355,70,1,1.5,1,1,1,1,1,0,1,0,1,1,1,1,0,0.875,1
342,25,1,6.0,1,1,1,1,0,1,1,0,1,1,1,0,0,0.75,0
133,120,1,0.5,1,0,0,0,0,0,1,0,1,1,1,1,0,0.625,0
283,71,1,1.5,1,0,0,0,0,0,0,0,1,1,1,1,0,0.625,0
395,87,1,2.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0,0
92,136,1,3.0,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1
96,83,1,4.0,1,0,0,0,1,1,1,1,1,1,1,1,1,0.875,0
169,1,1,1.5,1,1,1,1,0,1,1,0,1,1,1,0,0,0.75,0
383,37,1,1.5,1,0,1,0,1,0,0,1,1,0,1,1,0,0.625,0
323,95,1,1.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1.0,0
39,132,0,12.0,0,0,0,0,1,0,1,0,1,1,1,1,0,0.625,0
208,34,1,4.0,1,0,1,0,0,1,0,0,1,1,1,1,0,0.75,0
170,136,1,3.0,1,1,1,1,1,0,0,1,1,1,1,1,0,0.875,0
256,56,0,6.0,0,1,1,1,0,0,1,1,1,1,1,1,0,0.625,1
390,22,1,3.0,1,1,0,0,0,1,1,1,1,1,1,0,0,0.625,0
384,149,1,3.5,1,0,1,0,1,0,1,0,1,1,0,1,0,0.625,0
82,147,1,0.5,1,0,0,0,0,1,1,0,0,1,1,1,0,0.625,0
259,38,0,24.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0.5,0
187,1,1,4.5,1,0,0,0,0,1,0,0,1,1,1,0,0,0.625,0
82,79,1,0.5,1,1,0,0,0,0,1,0,0,1,1,1,0,0.5,0
397,86,0,6.0,0,1,0,0,1,0,0,1,1,0,1,1,0,0.5,0
394,86,0,6.0,0,1,0,0,0,0,1,0,1,1,1,1,0,0.5,0
98,58,1,3.5,1,1,1,1,0,0,0,0,0,1,1,0,0,0.5,0
221,15,1,1.0,1,1,0,0,0,1,1,1,1,1,1,1,0,0.75,1
241,64,1,4.0,1,1,1,1,1,1,0,0,1,1,1,0,1,0.875,0
63,98,1,3.5,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,0
317,79,0,10.5,0,1,0,0,0,0,1,1,1,1,1,1,0,0.5,0
259,130,1,1.5,1,1,1,1,0,1,0,0,1,1,1,0,0,0.75,1
312,136,1,2.0,1,0,0,0,1,0,1,0,1,1,1,1,0,0.75,0
226,10,0,7.5,0,0,0,0,0,0,0,0,1,1,1,0,0,0.375,0
242,113,0,7.5,0,1,1,1,1,1,0,0,1,0,1,0,1,0.625,0
301,64,1,2.0,1,1,1,1,0,0,0,0,1,1,1,0,0,0.625,0
270,111,1,3.0,1,0,0,0,0,1,1,1,0,1,1,0,0,0.5,0
86,121,1,1.5,1,0,0,0,0,0,1,1,0,1,1,1,0,0.5,0
271,56,0,11.0,0,0,1,0,0,1,0,0,1,1,1,1,0,0.625,0
400,58,1,2.5,1,0,0,0,0,0,0,0,1,1,1,0,0,0.5,0
231,121,1,5.5,1,0,0,0,1,0,1,1,1,1,1,1,0,0.75,0
263,65,0,3.0,0,1,1,1,1,1,0,0,1,1,0,1,1,0.75,0
170,76,1,0.5,1,1,0,0,0,0,0,1,0,1,1,1,0,0.5,1
61,132,1,1.0,1,1,1,1,1,0,0,1,1,1,1,1,0,0.875,1
64,107,0,6.0,0,1,1,1,0,0,0,1,0,1,1,0,0,0.375,0
310,70,1,0.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1.0,0
4,120,1,1.5,1,0,1,0,1,0,0,0,1,1,1,1,0,0.75,0
139,29,0,16.0,0,1,1,1,0,0,1,0,1,1,1,1,0,0.625,0
62,59,0,8.5,0,1,1,1,1,1,0,0,1,0,1,1,1,0.75,0
40,93,1,2.5,1,0,0,0,1,0,1,0,1,1,1,0,0,0.625,0
179,18,0,5.5,0,1,1,1,1,1,1,1,1,1,1,0,1,0.75,0
120,101,1,4.0,1,1,1,1,1,1,0,0,1,1,1,0,1,0.875,0
49,70,1,0.5,1,1,1,1,1,0,1,0,1,1,1,1,0,0.875,0
308,56,1,2.0,1,0,0,0,0,0,0,0,1,1,1,1,0,0.625,0
40,118,0,4.0,0,1,1,1,0,1,1,0,1,0,1,0,0,0.5,1
351,108,0,6.5,0,1,1,1,1,1,1,0,1,1,1,0,1,0.75,0
344,92,1,1.5,1,0,0,0,1,0,1,0,1,1,1,0,0,0.625,0
329,34,1,6.0,1,0,0,0,0,1,1,0,1,1,1,0,0,0.625,0
121,1,1,0.5,1,1,1,1,1,0,0,0,1,1,1,0,0,0.75,0
100,44,0,8.5,0,1,1,1,1,1,1,0,1,1,1,0,1,0.75,0
129,93,1,0.5,1,1,1,1,0,1,1,0,1,1,1,0,0,0.75,0
125,118,0,9.0,0,0,0,0,0,1,0,1,1,0,1,0,0,0.375,0
385,71,0,5.5,0,0,0,0,1,1,1,0,1,1,0,0,1,0.5,0
149,92,1,2.5,1,0,0,0,0,0,1,1,1,1,1,0,0,0.5,0
195,101,1,4.0,1,0,0,0,0,0,0,1,1,0,1,1,0,0.5,0
356,93,1,3.5,1,0,0,0,0,0,1,1,1,1,1,0,0,0.5,0
118,79,1,0.5,1,1,0,0,0,0,0,1,1,0,1,1,0,0.5,1
14,98,1,0.5,1,1,1,1,1,0,0,1,1,1,1,1,0,0.875,0
292,108,1,0.5,1,0,0,0,1,1,1,1,1,1,1,0,1,0.75,0
84,44,1,2.5,1,0,1,0,0,0,1,0,1,1,1,0,0,0.5,0
61,1,0,8.5,0,1,1,1,0,0,0,1,1,1,0,0,0,0.375,0
269,147,1,4.5,1,0,1,0,1,1,1,1,0,1,1,0,1,0.625,0
200,102,0,23.0,0,1,1,1,0,1,1,1,0,0,1,1,0,0.5,0
394,84,0,18.5,0,1,1,1,0,1,1,0,1,1,1,0,0,0.625,0
105,92,0,20.5,0,0,1,0,0,1,0,0,0,1,1,0,0,0.375,0
229,38,0,26.0,0,1,1,1,0,0,1,0,1,1,1,1,0,0.625,0
226,108,1,3.5,1,1,1,1,0,0,0,0,1,1,1,1,0,0.75,1
209,101,0,8.0,0,0,0,0,0,1,0,1,1,0,1,1,0,0.5,0
346,136,0,11.0,0,1,1,1,0,1,1,0,1,0,1,0,0,0.5,0
293,98,1,3.5,1,0,0,0,1,0,0,1,1,1,1,1,0,0.75,0
146,132,1,2.0,1,0,0,0,0,1,1,1,1,1,1,1,0,0.75,0
259,61,0,8.5,0,1,0,0,0,1,0,0,0,0,1,1,0,0.375,0
245,84,0,21.5,0,0,0,0,1,0,0,0,1,1,1,0,0,0.5,0
305,4,0,10.5,0,0,0,0,1,1,0,1,1,1,1,1,1,0.75,0
243,85,1,4.5,1,1,1,1,1,0,0,0,1,1,1,1,0,0.875,0
16,87,1,3.0,1,0,0,0,0,0,1,0,1,1,1,1,0,0.625,0
93,86,1,1.0,1,1,0,0,1,1,1,0,1,1,1,1,1,0.875,1
131,95,1,4.0,1,0,0,0,0,0,1,1,1,0,1,1,0,0.5,0
205,109,1,2.0,1,0,0,0,0,1,0,0,1,0,1,1,0,0.625,0
330,116,0,10.5,0,0,1,0,1,1,0,1,0,1,1,1,1,0.625,0
318,85,0,7.5,0,1,1,1,1,1,1,0,1,1,1,1,1,0.875,0
188,56,1,1.0,1,0,0,0,1,0,0,1,0,1,1,1,0,0.625,0
105,21,0,17.5,0,1,0,0,0,0,0,0,0,1,1,1,0,0.375,0
55,67,1,2.5,1,1,0,0,1,1,0,1,1,1,1,1,1,0.875,1
368,72,0,7.5,0,1,1,1,0,0,0,0,1,1,1,0,0,0.5,0
326,46,1,1.5,1,1,1,1,1,0,1,1,1,0,1,1,0,0.75,1
378,109,1,5.0,1,1,1,1,1,0,1,1,1,1,1,1,0,0.875,0
232,99,1,2.0,1,1,1,1,0,0,0,1,1,1,1,1,0,0.75,0
48,127,1,3.5,1,0,0,0,1,0,1,1,0,1,1,1,0,0.625,0
325,2,1,3.0,1,0,0,0,1,0,1,0,1,1,0,0,0,0.5,0
141,99,1,4.0,1,0,0,0,0,0,1,0,1,1,1,0,0,0.5,0
370,14,1,1.5,1,1,1,1,1,0,0,0,1,0,1,1,0,0.75,0
185,98,1,0.5,1,0,0,0,0,1,0,0,1,1,1,1,0,0.75,0
124,120,1,1.5,1,1,1,1,1,1,0,0,1,1,1,1,1,1.0,0
314,77,1,2.5,1,1,0,0,1,0,0,0,1,1,0,1,0,0.625,0
75,83,1,1.0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,1
153,46,0,7.5,0,0,1,0,0,1,0,0,1,1,1,0,0,0.5,0
35,1,1,4.5,1,1,1,1,0,0,0,0,1,1,1,0,0,0.625,0
18,98,0,8.5,0,1,1,1,1,0,1,1,1,1,1,1,0,0.75,0
98,85,1,2.5,1,1,1,1,1,0,0,0,0,1,1,1,0,0.75,0
192,86,1,0.0,1,1,0,0,0,1,0,1,1,0,1,1,0,0.625,0
109,25,1,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,1
291,70,0,6.5,0,1,1,1,1,0,1,0,1,1,1,1,0,0.75,0
364,4,1,3.5,1,1,1,1,1,0,0,1,1,1,1,1,0,0.875,0
113,58,0,22.5,0,0,0,0,1,0,1,0,1,1,1,1,0,0.625,0
183,127,1,0.5,1,1,1,1,0,1,0,1,1,1,1,0,0,0.75,1
213,37,1,3.5,1,1,1,1,0,0,1,0,1,0,1,1,0,0.625,1
399,29,0,9.0,0,1,0,0,1,1,1,1,1,1,1,1,1,0.75,0
232,72,0,7.5,0,1,1,1,1,1,0,1,1,0,1,1,1,0.75,0
384,85,0,7.5,0,1,1,1,0,1,1,0,1,1,1,1,0,0.75,0
258,25,1,5.0,1,0,0,0,1,1,1,0,1,0,1,0,1,0.625,0
44,87,1,0.0,1,1,0,0,1,1,0,1,1,1,1,1,1,0.875,0
59,99,0,11.0,0,0,0,0,0,1,0,0,1,1,1,0,0,0.5,0
154,120,1,4.5,1,0,0,0,1,0,0,0,1,1,0,1,0,0.625,0
296,74,1,3.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0.875,0
108,116,0,5.5,0,1,1,1,0,1,1,1,1,1,1,0,0,0.625,0
311,71,0,6.5,0,1,1,1,1,1,1,1,1,1,1,1,1,0.875,0
308,138,1,1.0,1,1,1,1,0,1,0,0,1,1,1,1,0,0.875,1
263,113,1,1.5,1,0,1,0,1,0,0,0,1,0,1,1,0,0.625,0
146,93,0,13.5,0,0,0,0,1,0,1,1,1,1,1,0,0,0.5,0
293,58,0,5.5,0,1,1,1,0,1,0,1,1,1,1,1,0,0.75,0
191,132,0,13.0,0,1,1,1,0,1,1,1,0,1,1,1,0,0.625,0
291,56,0,8.0,0,0,1,0,1,0,1,0,1,1,1,1,0,0.625,0
73,18,0,8.5,0,1,1,1,1,0,0,0,1,1,1,1,0,0.75,0
89,5,0,7.5,0,1,1,1,0,0,0,1,1,1,1,0,0,0.5,0
234,72,0,14.5,0,0,0,0,0,1,1,0,1,1,1,1,0,0.625,0
207,14,0,6.5,0,1,1,1,0,1,0,0,1,0,1,0,0,0.5,0
281,10,1,1.5,1,1,1,1,1,0,0,0,1,1,1,0,0,0.75,1
280,136,1,2.0,1,0,1,0,0,1,0,1,1,1,1,0,0,0.625,0
24,34,1,0.0,1,1,1,1,1,1,1,0,1,1,1,0,1,0.875,0
217,43,1,0.5,1,1,1,1,0,1,1,1,1,1,1,0,0,0.75,0
163,85,1,0.5,1,0,0,0,1,1,1,1,1,1,1,1,1,0.875,0
215,83,1,3.0,1,0,0,0,1,1,0,1,1,1,1,0,1,0.75,0
46,99,1,3.0,1,1,1,1,0,0,0,0,1,1,1,0,0,0.625,0
391,85,0,12.5,0,0,0,0,1,0,1,0,0,1,1,1,0,0.5,0
225,121,0,8.5,0,1,1,1,1,0,0,1,0,1,1,0,0,0.5,0
185,14,1,2.5,1,0,0,0,0,1,0,0,1,1,1,0,0,0.625,0
181,111,1,1.0,1,0,0,0,1,1,1,0,1,1,1,0,1,0.75,0
118,15,1,1.0,1,1,0,0,1,1,0,1,1,1,1,1,1,0.875,0
313,70,0,8.5,0,1,1,1,0,1,0,1,1,1,1,1,0,0.75,0
58,25,0,7.0,0,1,1,1,1,1,0,0,1,0,1,1,1,0.75,1
300,116,0,9.5,0,0,0,0,0,0,1,0,1,1,1,0,0,0.375,0
263,56,1,2.0,1,0,1,0,1,0,0,0,1,1,1,1,0,0.75,0
115,22,0,8.0,0,1,0,0,1,1,0,1,1,0,0,0,1,0.375,0
354,67,1,0.5,1,1,0,0,0,1,1,1,0,1,1,1,0,0.625,0
173,55,1,1.5,1,1,1,1,1,0,1,0,0,1,1,1,0,0.75,0
384,62,0,6.5,0,1,1,1,1,0,1,0,1,1,1,0,0,0.625,0
232,98,0,8.5,0,0,0,0,1,0,0,1,1,1,1,1,0,0.625,0
261,85,1,3.5,1,0,0,0,1,1,1,0,1,1,1,1,1,0.875,0
28,1,1,1.5,1,1,1,1,0,1,0,1,1,1,1,1,0,0.875,0
175,4,0,6.5,0,0,0,0,1,0,1,1,1,1,1,1,0,0.625,0
62,98,1,2.5,1,0,0,0,0,1,0,0,1,1,1,1,0,0.75,0
284,147,0,11.5,0,1,1,1,1,0,0,0,0,1,1,0,0,0.5,0
154,102,1,1.0,1,0,0,0,0,1,0,0,0,0,1,1,0,0.5,0
201,22,0,6.0,0,1,0,0,0,1,0,1,1,0,0,1,0,0.375,1
66,76,1,1.5,1,1,0,0,1,1,0,0,0,1,1,0,1,0.625,0
324,61,0,6.5,0,1,0,0,0,0,1,1,0,0,1,1,0,0.25,1
213,92,1,2.5,1,0,0,0,0,1,1,0,1,0,1,1,0,0.625,0
41,130,0,5.5,0,1,1,1,0,0,1,1,1,1,1,0,0,0.5,0
265,79,0,5.5,0,1,0,0,1,0,0,0,1,0,1,1,0,0.5,0
